Date,close,market_cap,circulating_market_cap,Price1Y,ATR14,Variance120,VEMA26,net_interest_expense,net_invest_cash_flow_ttm,non_operating_net_profit_ttm
2020-11-04,18.18,355516430000,355513380000,0.246051,90.922143,0.114677,975858.528557,-24849000448,-7171999680,-109000000
2020-11-05,17.56,343484740000,343481810000,0.203312,92.042857,0.117447,991249.378292,-24849000448,-7171999680,-109000000
2020-11-06,17.5,342320410000,342317480000,0.198798,87.988571,0.116883,969883.646567,-24849000448,-7171999680,-109000000
2020-11-09,17.7,346201590000,346198630000,0.212057,88.937143,0.116627,956396.117191,-24849000448,-7171999680,-109000000
2020-11-10,17.97,351441190000,351438180000,0.22983,88.85,0.115417,948178.997398,-24849000448,-7171999680,-109000000
2020-11-11,17.67,345619410000,345616460000,0.208757,84.537143,0.116073,935606.479069,-24849000448,-7171999680,-109000000
2020-11-12,17.52,342708520000,342705590000,0.198177,77.980714,0.116284,907841.999135,-24849000448,-7171999680,-109000000
2020-11-13,17.05,333393680000,333390820000,0.165284,79.102857,0.117963,919667.036233,-24849000448,-7171999680,-109000000
2020-11-16,17.23,337080810000,337077930000,0.178071,79.362143,0.117957,898149.477993,-24849000448,-7171999680,-109000000
2020-11-17,17.69,346007520000,346004570000,0.209037,79.966429,0.11891,883934.479623,-24849000448,-7171999680,-109000000
2020-11-18,18.32,358233250000,358230200000,0.251336,81.432143,0.117925,902695.555208,-24849000448,-7171999680,-109000000
2020-11-19,18.7,365801560000,365798440000,0.277046,80.741429,0.118583,910151.440008,-24849000448,-7171999680,-109000000
2020-11-20,18.71,365995630000,365992500000,0.276736,78.584286,0.118586,884067.703708,-24849000448,-7171999680,-109000000
2020-11-23,19.47,380744120000,380740870000,0.327175,79.533571,0.121316,890089.281209,-24849000448,-7171999680,-109000000
2020-11-24,19.21,375698580000,375695360000,0.30832,79.447143,0.121156,865775.260378,-24849000448,-7171999680,-109000000
2020-11-25,18.91,369876810000,369873660000,0.286889,76.773571,0.121748,835536.648499,-24849000448,-7171999680,-109000000
2020-11-26,19.35,378415410000,378412180000,0.315523,77.205,0.121616,812878.526389,-24849000448,-7171999680,-109000000
2020-11-27,19.55,382296580000,382293330000,0.327821,78.585714,0.121311,798898.117027,-24849000448,-7171999680,-109000000
